Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Bowling average,Bowling econ,sr,4w,5w,Retained,matches_bat_ipl,total_runs_scored_ipl,balls_faced_ipl,batting_avg_ipl,highest_score_ipl,strike_rate_ipl,centuries_ipl,half_centuries_ipl,fours_ipl,sixes_ipl,matches_bowl_ipl,balls_bowled_ipl,total_runs_given_ipl,wickets_taken_ipl,bowling_avg_ipl,economy_ipl,3wickets_ipl
0.0,0.0,1,Rusty Theron,South Africa,Deccan Chargers,85000.0,50.0,18.0,9.0,71.0,24,0.0,0.0,7.88,70.0,101.42,0.0,0.0,4.0,1.0,0.34,17.0,0.0,1.0,1098.0,1280.0,0.0,58.0,22.06,6.99,18.9,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Alfonso Thomas,South Africa,Pune Warriors,100000.0,104.0,33.0,19.0,173.0,30,0.0,0.0,12.35,158.0,109.49,0.0,0.0,19.0,2.0,0.2980769230769231,31.0,0.0,1.0,2049.0,2481.0,1.0,125.0,19.84,7.26,16.3,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Ben Hilfenhaus,Australia,Chennai Super Kings,100000.0,21.0,9.0,4.0,28.0,7,0.0,0.0,5.6,43.0,65.11,0.0,0.0,0.0,1.0,0.09523809523809523,2.0,0.0,1.0,439.0,519.0,0.0,25.0,20.76,7.09,17.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Colin Ingram,South Africa,Delhi Daredevils,100000.0,32.0,31.0,4.0,686.0,84,0.0,1.0,25.4,570.0,120.35,0.0,4.0,59.0,26.0,0.25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Dimitri Mascarenhas,England,Kings XI Punjab,100000.0,81.0,71.0,20.0,1045.0,57,0.0,1.0,20.49,829.0,126.05,0.0,3.0,70.0,38.0,0.2716049382716049,22.0,0.0,1.0,1609.0,1883.0,1.0,101.0,18.64,7.02,15.9,1.0,1.0,0,2.0,12.0,11.0,6.0,9.0,106.25,0.0,0.0,0.0,0.0,2.0,48.0,65.0,4.0,32.5,8.125,0.0
0.0,0.0,1,James Franklin,New Zealand,Mumbai Indians,100000.0,72.0,64.0,17.0,1531.0,90,1.0,1.0,32.57,1187.0,128.98,0.0,6.0,109.0,55.0,0.2777777777777778,20.0,0.0,1.0,1074.0,1473.0,0.0,40.0,36.82,8.22,26.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Jerome Taylor,West Indies,Pune Warriors,100000.0,35.0,15.0,7.0,70.0,16,0.0,0.0,8.75,53.0,132.07,0.0,0.0,4.0,3.0,0.2,7.0,0.0,1.0,751.0,941.0,0.0,49.0,19.2,7.51,15.3,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1,Matthew Wade,Australia,Delhi Daredevils,100000.0,27.0,22.0,4.0,349.0,80,0.0,1.0,19.38,299.0,116.72,0.0,2.0,30.0,11.0,0.4814814814814815,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Nathan McCullum,New Zealand,Pune Warriors,100000.0,73.0,59.0,18.0,989.0,76,0.0,1.0,24.12,730.0,135.47,0.0,3.0,61.0,47.0,0.410958904109589,30.0,0.0,1.0,1327.0,1543.0,1.0,71.0,21.73,6.97,18.6,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Nuwan Kulasekara,Sri Lanka,Chennai Super Kings,100000.0,31.0,22.0,8.0,155.0,30,0.0,0.0,11.07,124.0,125.0,0.0,0.0,5.0,8.0,0.3870967741935484,12.0,0.0,1.0,674.0,862.0,0.0,32.0,26.93,7.67,21.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
